RA,DEC,ztf_oid,lsst_oid,redshift,z_err,z_source
149.08848649999868,2.12281675,ZTF23aadaewd,313853533525377135,2.247913,0.0006434153,SDSS (QSO)
149.55453422724005,0.8880650959240689,ZTF22abtbpgq,170046091685265477,1.7498,0.0003772076,SDSS (QSO)
150.2819348,1.4108813,ZTF19aacymxd,313994141002367046,1.633738,0.0006761106,SDSS (QSO)
187.3488735774837,7.899846118499314,ZTF23aaowpre,170028526498480272,0.8542548,0.0001165338,SDSS (QSO)
186.28277019,7.253372092500001,ZTF20aajwofo,170028526625357958,2.656911,0.0003099686,SDSS (QSO)
149.55453422724005,0.8880650959240689,ZTF22abtbpgq,313871013120049171,1.7498,0.0003772076,SDSS (QSO)
318.1264676576117,-6.558892199319891,ZTF26aawdvbd,170472775596638228,1.559442,0.0005408163,SDSS (QSO)
148.7619139,1.9646874000000003,ZTF23abttyka,170046091649089715,1.138459,0.0003416377,SDSS (QSO)
150.54460432260004,2.5072776028518065,ZTF20actkrbd,314011777330315515,1.159956,0.0003220365,SDSS (QSO)
149.21486900000085,0.752237400002882,ZTF20acyxpkk,170028500572963993,2.494678,0.0003770315,SDSS (QSO)
149.49793589171455,2.076624371707707,ZTF20aadajmn,313875416677875727,2.028977,0.0003822506,SDSS (QSO)
187.24534955008147,8.331539091067746,ZTF24aaiyjvj,170028529047044170,2.325652,0.000312201,SDSS (QSO)
149.812749525727,0.9982115565121511,ZTF25aadyggr,170028500596031610,1.814048,0.0008417589,SDSS (QSO)
188.03552585646966,7.43373128549255,ZTF23aajltpq,170028528800628761,0.7363327,0.0001244364,SDSS (QSO)
186.33740610475763,8.288717226637331,ZTF22aadplih,170028526718156887,2.228613,0.000109455,SDSS (QSO)
149.59178020353136,1.1350923073733898,ZTF23aaayeyd,170028512366297114,2.17818,0.0003335624,SDSS (QSO)
188.32094309999877,9.44527695,ZTF23aahpqho,170050533248729223,0.8864281,0.0002518566,SDSS (QSO)
186.10595508821746,9.307756061042827,ZTF23aaosyzf,170050533136007293,2.343267,0.0001811563,SDSS (QSO)
150.3850477,1.020271,ZTF25aaedptf,313853517476397066,1.413394,0.0007944411,SDSS (QSO)
149.9416662318112,2.7954812399441775,ZTF22abtbonm,170019717267849383,1.065383,0.0002626542,SDSS (QSO)
150.15848664999686,2.1395585500000003,ZTF22abtbpaq,313871013420466190,1.829505,0.0009015428,SDSS (QSO)
151.3545384,1.5036154,ZTF20aasesan,170032911556280389,0.09924157,1.988855e-05,SDSS (GALAXY)
186.884057375,7.963219125,ZTF18aarlrya,170028538460110891,0.03343083,1.246124e-05,SDSS (GALAXY)
150.51163045,2.4095852,ZTF22abuahxo,313972183909531813,0.9862742,0.0005831171,SDSS (QSO)
151.34723454999425,2.76004105,ZTF20acyxqdx,170028510658691176,1.479928,0.0007474504,SDSS (QSO)
317.8025121618182,-6.104063574545454,ZTF22aallfnw,170472775594541300,0.9912842,0.0001141905,SDSS (QSO)
149.18993573649203,3.640743305775973,ZTF21aaotbrr,313853517667762301,0.7185591,8.63427e-05,SDSS (QSO)
186.9529032450892,8.32073681365,ZTF24aaivozm,170028526739652715,1.98542,0.0005534933,SDSS (QSO)
187.3949158627268,8.159138974010709,ZTF26aagavnq,170028528756588627,0.7114896,0.0001203157,SDSS (QSO)
186.5848895969132,7.879123742778046,ZTF23aaayzwe,170028526604386390,2.240126,0.0002242617,SDSS (QSO)
149.872794626884,3.1837836417979464,ZTF19aadevks,314003015866515506,0.1244038,2.193215e-05,SDSS (QSO)
150.49243948269682,1.971009068961777,ZTF20acpzeyh,313875416704090123,,,
150.05864509781568,2.4775378528386214,ZTF21aakpmaz,170028512399851695,1.257284,0.0003411089,SDSS (QSO)
151.84651731282824,1.7629915025660785,ZTF25aaebjuy,313853517747454243,0.3549152,2.57393e-05,SDSS (QSO)
148.84855313999984,1.81231004,ZTF25aaeakmg,170028510907203724,2.377635,0.0003231659,SDSS (QSO)
185.33657698246668,8.394967695107585,ZTF21abazgue,170032915929366654,1.036659,0.0001773278,SDSS (QSO)
150.06560245,2.9293702,ZTF21abaijyu,313875415047864323,0.1029603,2.152643e-05,SDSS (GALAXY)
188.4837492842247,7.798919270968471,ZTF20aaocbid,170468319162794268,0.3708745,3.453697e-05,SDSS (QSO)
150.11431852346914,2.9975416574287483,ZTF18adakzht,170028500588167170,0.3389037,6.670312e-05,SDSS (QSO)
149.45832176532375,1.5650677882395347,ZTF24aabmfhe,170028510778753136,2.008959,0.0004672922,SDSS (QSO)
150.27661463720364,3.0527594695396503,ZTF20acxzjqr,170028500588167286,0.6093695,0.0001034519,SDSS (QSO)
150.12161855,1.02920405,ZTF20aaiaenp,313967766838706300,1.057004,0.0004086797,SDSS (QSO)
186.96928944999942,8.09070955,ZTF24aajcsss,170028526740701185,1.622474,0.0004162893,SDSS (QSO)
151.08758445509284,1.6132414892597637,ZTF20acxzjci,170028500625391725,1.037741,0.0002521513,SDSS (QSO)
149.09015927555322,2.816677088769538,ZTF20acpzesv,170028500558282784,0.9521613,0.0007545433,SDSS (QSO)
184.95321730000003,7.791996000000001,ZTF24aaivocw,170028530469437529,1.417329,0.0003033552,SDSS (QSO)
150.33212112193675,1.0838541458777142,ZTF19adcdtgc,170028510555406485,1.108971,0.0005627497,SDSS (QSO)
